path,ext,loc,commits,churn,decisions,issues,issue_detail,owner,owner_pct,authors,origin,risk
src/modules/integrations/page.tsx,tsx,609,6,618,5,0,,Chaitanya2872,100,1,authored,6.3
src/modules/project-management/teams-page.tsx,tsx,524,2,559,15,0,,Praveen,95,2,authored,6.3
src/modules/visitor management/utils/visitorWorkflow.ts,ts,218,1,217,56,0,,Vaishnavi Nerella,100,1,copied:vms,6.3
backend/services/recruitment-service/src/main/java/com/hirepath/recruitment/controller/OfferController.java,java,294,2,437,43,0,,Ravi-Shankar-ACS,100,1,copied:hirepath,6.2
src/modules/crm/presales/page.tsx,tsx,439,7,754,12,1,use_client=1,Chaitanya2872,100,1,authored,6.2
backend/services/procurement-service/src/main/java/com/fawnix/procurement/dto/ProcurementDtos.java,java,625,5,656,0,0,,Chaitanya2872,100,1,authored,6.1
src/modules/approvals/ApprovalsListPage.tsx,tsx,319,1,318,32,1,any=1,Ravi-Shankar-ACS,100,1,authored,6.1
src/modules/inventory/invoices-page.tsx,tsx,372,3,529,11,2,use_client=1;nonnull=1,Vaishnavi Nerella,100,1,authored,5.9
backend/services/crm-service/src/main/java/com/fawnix/crm/contact/service/SpeechToTextClient.java,java,240,1,239,39,1,broad_catch=1,Chaitanya2872,100,1,authored,5.8
backend/services/crm-service/src/main/java/com/fawnix/crm/reports/service/ReportsService.java,java,384,2,385,28,0,,Chaitanya2872,100,1,authored,5.8
src/modules/purchases/p2p/dashboard/page.tsx,tsx,430,3,897,14,0,,Chaitanya2872,100,1,authored,5.8
backend/services/identity-service/src/main/java/com/fawnix/identity/users/service/UserService.java,java,364,13,729,22,0,,Chaitanya2872,93,2,authored,5.6
src/modules/purchases/PurchaseOrderDocument.tsx,tsx,340,14,789,24,0,,Vaishnavi Nerella,62,2,authored,5.6
src/modules/purchases/p2p/receipt/page.tsx,tsx,450,3,739,12,0,,Chaitanya2872,100,1,authored,5.6
src/modules/crm/opportunities/page.tsx,tsx,416,2,415,19,0,,Chaitanya2872,100,1,authored,5.5
backend/services/sales-service/src/main/java/com/fawnix/sales/orders/entity/SalesOrderEntity.java,java,553,2,552,0,0,,Chaitanya2872,100,1,authored,5.4
backend/services/task-service/src/main/java/com/hirepath/task/tasks/dto/TaskDtos.java,java,550,11,571,0,0,,Chaitanya2872,100,1,copied:hirepath,5.4
src/components/layout/Topbar.tsx,tsx,360,6,741,18,0,,Chaitanya2872,57,2,authored,5.3
src/modules/crm/contacts/page.tsx,tsx,367,1,366,23,0,,Chaitanya2872,100,1,authored,5.3
src/modules/project-management/api.ts,ts,482,6,577,6,0,,Chaitanya2872,59,3,authored,5.3
src/modules/recruitment/IntakePage.tsx,tsx,217,1,216,26,2,any=2,Ravi-Shankar-ACS,100,1,authored,5.3
backend/services/crm-service/src/main/java/com/fawnix/crm/leads/entity/LeadEntity.java,java,533,3,532,0,0,,Chaitanya2872,100,1,authored,5.2
src/modules/recruitment/NewHiringRequestPage.tsx,tsx,296,1,295,15,2,any=2,Ravi-Shankar-ACS,100,1,authored,5.2
