path,loc,dup_lines,dup_pct,owner
backend/services/approval-service/src/main/java/com/hirepath/approval/security/service/AppUserDetails.java,86,59,69,Ravi-Shankar-ACS
backend/services/crm-service/src/main/java/com/fawnix/crm/security/service/AppUserDetails.java,86,59,69,Chaitanya2872
backend/services/forms-service/src/main/java/com/hirepath/forms/security/service/AppUserDetails.java,86,59,69,Ravi-Shankar-ACS
backend/services/integration-service/src/main/java/com/hirepath/integration/security/service/AppUserDetails.java,86,59,69,Ravi-Shankar-ACS
backend/services/inventory-service/src/main/java/com/fawnix/inventory/security/service/AppUserDetails.java,86,59,69,Chaitanya2872
backend/services/notifications-service/src/main/java/com/hirepath/notifications/security/service/AppUserDetails.java,86,59,69,Ravi-Shankar-ACS
backend/services/org-service/src/main/java/com/hirepath/org/security/service/AppUserDetails.java,86,59,69,Ravi-Shankar-ACS
backend/services/procurement-service/src/main/java/com/fawnix/procurement/security/service/AppUserDetails.java,86,59,69,Chaitanya2872
backend/services/project-service/src/main/java/com/fawnix/project/projects/domain/ProjectEntity.java,255,59,23,Chaitanya2872
backend/services/project-service/src/main/java/com/fawnix/project/security/service/AppUserDetails.java,86,59,69,Chaitanya2872
backend/services/recruitment-service/src/main/java/com/hirepath/recruitment/security/service/AppUserDetails.java,86,59,69,Ravi-Shankar-ACS
backend/services/sales-service/src/main/java/com/fawnix/sales/security/service/AppUserDetails.java,86,59,69,Chaitanya2872
backend/services/task-service/src/main/java/com/hirepath/task/security/service/AppUserDetails.java,86,59,69,Chaitanya2872
src/modules/recruitment/CandidateProfilePage.tsx,508,59,12,Ravi-Shankar-ACS
src/modules/recruitment/InterviewsPage.tsx,226,59,26,Ravi-Shankar-ACS
backend/services/forms-service/src/main/java/com/hirepath/forms/domain/FormFieldSnapshot.java,70,58,83,Ravi-Shankar-ACS
backend/services/inventory-service/src/main/java/com/fawnix/inventory/warehouses/entity/WarehouseEntity.java,212,56,26,Vaishnavi Nerella
backend/services/task-service/src/main/java/com/hirepath/task/common/exception/GlobalExceptionHandler.java,108,56,52,Chaitanya2872
backend/services/integration-service/src/main/java/com/hirepath/integration/domain/PortalCredential.java,130,55,42,Ravi-Shankar-ACS
backend/services/recruitment-service/src/main/java/com/hirepath/recruitment/domain/JobPosition.java,229,55,24,Ravi-Shankar-ACS
backend/services/sales-service/src/main/java/com/fawnix/sales/quotes/dto/QuoteDtos.java,148,55,37,Chaitanya2872
backend/services/crm-service/src/main/java/com/fawnix/crm/common/config/DataSeeder.java,185,54,29,Chaitanya2872
src/modules/visitor management/pages/VisitorVerification/VisitorVerification.tsx,356,54,15,Vaishnavi Nerella
